556.2			241.6		2		236.5		245
1018.16		294.85	1.15		291		298
1535.7		351.71	1.25		345.85	356.93
165			511.2		3		504		517
1103.6		609.6		1.5		603		615
135.2			768.8		2		765		774
75.9 			786.3 	2.5 		782.2 	790.6
77 			912.5 	2 		905 		917
96			935		1.25		930		940
290			1121		1.5		1115.5	1127
114			1239		2		1235		1243
88			1379.2	2		1373.8	1384.3
641.5			1462.3	2		1455		1467
49			1510		2.25		1504.5	1516
25			1662		2.34		1655		1668
52.8			1730.5	2.5		1725		1735
240			1766		2.25		1760		1771
35			1848.7	2.25		1843.25	1855.5
19			2104.5	3		2099.6	2111.6
24			2119.5	3		2113.5	2126.5
65			2205.5	3		2199		2213
23			2449.3	2.25		2442.8	2457
118			2616.5	3		2612		2622
